,Class,Sample,Date,Peak,scan_number,Intensity,Area%,CAS_ID,Quality,Peak_ID,RI,Sample_ID
126,CU,CU3,2015/11/03,77,7751,359461,0.47,999556-92-5,72.0,CU3-1103-77,13.4633378318,CU3-1103
127,CU,CU3,2015/11/03,77,7751,359461,0.47,053044-27-2,64.0,CU3-1103-77,13.4633378318,CU3-1103
128,CU,CU3,2015/11/03,78,8245,459789,0.61,006378-65-0,91.0,CU3-1103-78,20.7681940701,CU3-1103
129,CU,CU3,2015/11/03,79,8775,61865,0.08,999218-76-9,27.0,CU3-1103-79,15.0889487871,CU3-1103
130,CU,CU3,2015/11/03,79,8775,61865,0.08,002035-99-6,27.0,CU3-1103-79,15.0889487871,CU3-1103
131,CU,CU3,2015/11/03,79,8775,61865,0.08,999218-77-0,27.0,CU3-1103-79,15.0889487871,CU3-1103
132,CU,CU3,2015/11/03,80,8934,51154,0.07,007568-93-6,10.0,CU3-1103-80,16.490990991,CU3-1103
133,CU,CU3,2015/11/03,80,8934,51154,0.07,999045-21-0,9.0,CU3-1103-80,16.490990991,CU3-1103
134,CU,CU3,2015/11/03,80,8934,51154,0.07,999320-05-8,10.0,CU3-1103-80,16.490990991,CU3-1103
135,CU,CU3,2015/11/03,81,9043,55910,0.07,000590-17-0,10.0,CU3-1103-81,19.4718162839,CU3-1103
136,CU,CU3,2015/11/03,81,9043,55910,0.07,049831-79-0,16.0,CU3-1103-81,19.4718162839,CU3-1103
137,CU,CU3,2015/11/03,82,9069,137401,0.18,000644-30-4,93.0,CU3-1103-82,21.1151832461,CU3-1103
138,CU,CU3,2015/11/03,83,9155,123495,0.16,013474-59-4,87.0,CU3-1103-83,65.5423728814,CU3-1103
139,CU,CU3,2015/11/03,83,9155,123495,0.16,026560-14-5,70.0,CU3-1103-83,65.5423728814,CU3-1103
140,CU,CU3,2015/11/03,84,9204,82512,0.11,000141-63-9,50.0,CU3-1103-84,0.0,CU3-1103
141,CU,CU3,2015/11/03,84,9204,82512,0.11,000000-00-0,58.0,CU3-1103-84,0.0,CU3-1103
142,CU,CU3,2015/11/03,85,9263,1874743,2.48,000502-61-4,95.0,CU3-1103-85,0.0,CU3-1103
143,CU,CU3,2015/11/03,86,9312,111538,0.15,000128-37-0,98.0,CU3-1103-86,0.0,CU3-1103
144,CU,CU3,2015/11/03,87,9403,148187,0.2,025246-27-9,78.0,CU3-1103-87,0.0,CU3-1103
145,CU,CU3,2015/11/03,87,9403,148187,0.2,014912-44-8,76.0,CU3-1103-87,0.0,CU3-1103
146,CU,CU3,2015/11/03,87,9403,148187,0.2,005989-08-2,83.0,CU3-1103-87,0.0,CU3-1103
147,CU,CU3,2015/11/03,88,9622,45168,0.06,999461-67-6,10.0,CU3-1103-88,0.0,CU3-1103
148,CU,CU3,2015/11/03,88,9622,45168,0.06,000111-86-4,9.0,CU3-1103-88,0.0,CU3-1103
149,CU,CU3,2015/11/03,88,9622,45168,0.06,000051-67-2,10.0,CU3-1103-88,0.0,CU3-1103
150,CU,CU3,2015/11/03,89,9755,47428,0.06,999461-67-6,10.0,CU3-1103-89,0.0,CU3-1103
151,CU,CU3,2015/11/03,89,9755,47428,0.06,337497-67-3,12.0,CU3-1103-89,0.0,CU3-1103
152,CU,CU3,2015/11/03,89,9755,47428,0.06,006908-41-4,43.0,CU3-1103-89,0.0,CU3-1103
153,CU,CU3,2015/11/03,90,9840,1476858,1.95,000086-73-7,97.0,CU3-1103-90,0.0,CU3-1103
154,CU,CU3,2015/11/03,91,9948,51130,0.07,002489-86-3,60.0,CU3-1103-91,0.0,CU3-1103
155,CU,CU3,2015/11/03,91,9948,51130,0.07,000086-73-7,72.0,CU3-1103-91,0.0,CU3-1103
156,CU,CU3,2015/11/03,91,9948,51130,0.07,001855-47-6,55.0,CU3-1103-91,0.0,CU3-1103
157,CU,CU3,2015/11/03,92,9968,321305,0.42,999104-62-8,38.0,CU3-1103-92,0.0,CU3-1103
